user_id,username,first_name,last_name,email_id,country,industry,job_title,connections_count,followers_count,skills,creation_date,premium_user,username,first_name,last_name,,country
U0018,hiroshi.sato,Hiroshi,Sato,hiroshi.sato@yahoo.co.jp,Japan,Software Development,Nurse,1468,9646,"['Data Analysis', 'Python', 'Machine Learning', 'Marketing Strategy', 'Cloud Computing', 'SQL']",20-04-2025 09:13,FALSE,hiroshi.sato,Hiroshi,Sato,,Japan
U0019,sneha.reddy,Sneha,Reddy,sneha.reddy@gmail.com,India,Healthcare,Hydrologist,1207,237,"['Marketing Strategy', 'Cloud Computing', 'Project Management', 'SQL']",22-12-2022 13:12,FALSE,sneha.reddy,Sneha,Reddy,,India
U0020,noah.wilson,Noah,Wilson,noah.wilson@shaw.ca,Canada,Education,Medical technical officer,932,83,"['Project Management', 'Cloud Computing', 'Machine Learning', 'Leadership', 'Python']",24-06-2022 21:52,TRUE,noah.wilson,Noah,Wilson,,Canada
U0021,wei.zhang,Wei,Zhang,wei.zhang@qq.com,China,Software Development,Diagnostic radiographer,1725,1437,"['Machine Learning', 'Leadership', 'Marketing Strategy']",22-04-2024 03:20,TRUE,wei.zhang,Wei,Zhang,,China
U0022,rahul.dubey,Rahul,Dubey,rahul.dubey@outlook.in,India,Software Development,Transport planner,2775,3921,"['Project Management', 'Machine Learning', 'Marketing Strategy', 'SQL', 'Leadership']",28-06-2021 16:31,FALSE,rahul.dubey,Rahul,Dubey,,India
U0023,ava.taylor,Ava,Taylor,ava.taylor@gmail.com,UK,Marketing,Scientist,2831,8288,"['Leadership', 'SQL', 'Project Management', 'Machine Learning', 'Cloud Computing']",24-06-2022 01:57,FALSE,ava.taylor,Ava,Taylor,,UK
U0024,freja.pedersen,Freja,Pedersen,freja.pedersen@hotmail.com,Denmark,Finance,Nurse,2635,3779,"['SQL', 'Machine Learning']",30-12-2022 18:26,FALSE,freja.pedersen,Freja,Pedersen,,Denmark
U0025,ananya.mishra,Ananya,Mishra,ananya.mishra@gmail.com,India,Healthcare,Banker,2588,3257,"['Python', 'Cloud Computing', 'SQL', 'Project Management', 'Data Analysis', 'Machine Learning']",25-12-2023 03:59,TRUE,ananya.mishra,Ananya,Mishra,,India
U0026,jackson.moore,Jackson,Moore,jackson.moore@gmail.com,Australia,Healthcare,Animal nutritionist,2940,4788,"['Data Analysis', 'Python', 'SQL']",12-03-2021 09:14,FALSE,jackson.moore,Jackson,Moore,,Australia
U0027,sofia.martin,Sofia,Martin,sofia.martin@outlook.es,Spain,Healthcare,Ophthalmologist,1234,2477,"['Machine Learning', 'Cloud Computing', 'Data Analysis', 'Python']",16-08-2023 10:30,FALSE,sofia.martin,Sofia,Martin,,Spain
U0028,vijay.chauhan,Vijay,Chauhan,vijay.chauhan@yahoo.in,India,Software Development,Politician's assistant,3046,7892,"['Leadership', 'Project Management']",17-12-2023 04:51,FALSE,vijay.chauhan,Vijay,Chauhan,,India
U0029,anna.smirnova,Anna,Smirnova,anna.smirnova@yandex.ru,Russia,Education,Building services engineer,1562,3141,"['SQL', 'Project Management', 'Marketing Strategy']",21-05-2023 14:03,FALSE,anna.smirnova,Anna,Smirnova,,Russia
U0030,ahmed.hassan,Ahmed,Hassan,ahmed.hassan@outlook.com,Egypt,Finance,Magazine features editor,539,6692,"['Project Management', 'Machine Learning', 'Cloud Computing', 'SQL']",08-11-2021 21:20,FALSE,ahmed.hassan,Ahmed,Hassan,,Egypt
U0031,kriti.agarwal,Kriti,Agarwal,kriti.agarwal@gmail.com,India,Education,Conservation officer,4066,2146,"['Cloud Computing', 'Python', 'Machine Learning', 'Marketing Strategy', 'SQL', 'Data Analysis']",15-02-2025 06:16,TRUE,kriti.agarwal,Kriti,Agarwal,,India
U0032,william.thomas,William,Thomas,william.thomas@yahoo.com,USA,Finance,Producer,1331,6089,"['Machine Learning', 'Data Analysis']",30-05-2025 10:37,FALSE,william.thomas,William,Thomas,,USA
U0033,yuki.yamamoto,Yuki,Yamamoto,yuki.yamamoto@gmail.com,Japan,Software Development,Agricultural engineer,4547,5128,"['Leadership', 'Marketing Strategy']",26-07-2020 06:35,FALSE,yuki.yamamoto,Yuki,Yamamoto,,Japan
U0034,saurabh.jain,Saurabh,Jain,saurabh.jain@rediffmail.com,India,Finance,Research officer,1668,5530,"['Machine Learning', 'Cloud Computing', 'Marketing Strategy', 'Leadership', 'SQL']",07-12-2024 23:44,FALSE,saurabh.jain,Saurabh,Jain,,India
U0035,amelia.jackson,Amelia,Jackson,amelia.jackson@gmail.com,Canada,Finance,Tree surgeon,4110,8162,"['Machine Learning', 'Marketing Strategy', 'Python', 'Cloud Computing', 'Project Management']",01-10-2021 21:33,FALSE,amelia.jackson,Amelia,Jackson,,Canada
U0036,yong.wang,Yong,Wang,yong.wang@sina.com,China,Education,Hospital pharmacist,339,7956,"['Marketing Strategy', 'Python', 'Cloud Computing', 'Machine Learning', 'Data Analysis']",05-08-2023 18:42,FALSE,yong.wang,Yong,Wang,,China
U0037,nisha.verma,Nisha,Verma,nisha.verma@hotmail.com,India,Education,Tax adviser,4866,6026,"['Machine Learning', 'Leadership', 'Data Analysis']",21-09-2023 07:34,FALSE,nisha.verma,Nisha,Verma,,India
U0038,harry.harris,Harry,Harris,harry.harris@yahoo.co.uk,UK,Healthcare,Location manager,408,1637,"['Marketing Strategy', 'Leadership', 'Data Analysis', 'Cloud Computing']",14-09-2021 03:42,FALSE,harry.harris,Harry,Harris,,UK
U0039,lars.christensen,Lars,Christensen,lars.christensen@gmail.com,Denmark,Finance,Psychologist,1014,8985,"['Python', 'Data Analysis', 'Project Management']",13-06-2024 07:31,FALSE,lars.christensen,Lars,Christensen,,Denmark
U0040,akash.saini,Akash,Saini,akash.saini@gmail.com,India,Marketing,Editor,3858,8976,"['Data Analysis', 'Cloud Computing', 'Leadership']",29-05-2021 02:34,FALSE,akash.saini,Akash,Saini,,India
U0041,isabella.clark,Isabella,Clark,isabella.clark@outlook.com,Australia,Finance,Sales promotion account executive,1051,9951,"['Cloud Computing', 'Data Analysis', 'Leadership', 'Project Management']",21-05-2023 08:59,FALSE,isabella.clark,Isabella,Clark,,Australia
U0042,pablo.ruiz,Pablo,Ruiz,pablo.ruiz@gmail.com,Mexico,Marketing,Paramedic,1853,401,"['Machine Learning', 'Marketing Strategy', 'Python', 'SQL', 'Data Analysis']",01-04-2021 17:23,FALSE,pablo.ruiz,Pablo,Ruiz,,Mexico
U0043,shruti.sharma,Shruti,Sharma,shruti.sharma@yahoo.in,India,Marketing,Licensed conveyancer,4782,3352,"['Machine Learning', 'Marketing Strategy', 'Python', 'Leadership']",01-10-2021 11:42,FALSE,shruti.sharma,Shruti,Sharma,,India
U0044,dmitry.kozlov,Dmitry,Kozlov,dmitry.kozlov@gmail.com,Russia,Software Development,Community arts worker,4379,9803,"['SQL', 'Data Analysis', 'Project Management', 'Marketing Strategy', 'Cloud Computing']",12-10-2023 07:45,TRUE,dmitry.kozlov,Dmitry,Kozlov,,Russia
U0045,nour.mustafa,Nour,Mustafa,nour.mustafa@hotmail.com,Lebanon,Finance,Bonds trader,3696,5351,"['Data Analysis', 'Machine Learning', 'Python']",27-06-2024 02:38,FALSE,nour.mustafa,Nour,Mustafa,,Lebanon
U0046,manish.kumar,Manish,Kumar,manish.kumar@gmail.com,India,Software Development,Geoscientist,231,5637,"['Project Management', 'Marketing Strategy', 'Python', 'Cloud Computing']",04-07-2023 04:57,FALSE,manish.kumar,Manish,Kumar,,India
U0047,evelyn.lewis,Evelyn,Lewis,evelyn.lewis@yahoo.com,USA,Software Development,Manufacturing engineer,4580,7906,"['Machine Learning', 'Marketing Strategy', 'Cloud Computing', 'SQL', 'Data Analysis', 'Python']",18-11-2021 19:41,FALSE,evelyn.lewis,Evelyn,Lewis,,USA
U0048,daiki.ishikawa,Daiki,Ishikawa,daiki.ishikawa@outlook.jp,Japan,Education,Proofreader,1539,2888,"['Data Analysis', 'Project Management', 'SQL', 'Python', 'Machine Learning', 'Leadership']",02-05-2022 07:32,FALSE,daiki.ishikawa,Daiki,Ishikawa,,Japan
U0049,sonam.gupta,Sonam,Gupta,sonam.gupta@rediffmail.com,India,Marketing,Set designer,113,5636,"['Data Analysis', 'Project Management', 'Cloud Computing']",30-07-2020 10:08,FALSE,sonam.gupta,Sonam,Gupta,,India
U0050,benjamin.hall,Benjamin,Hall,benjamin.hall@gmail.com,Canada,Marketing,Tax inspector,488,1538,"['Data Analysis', 'Machine Learning', 'Marketing Strategy', 'Cloud Computing', 'SQL', 'Python']",22-08-2023 09:05,FALSE,benjamin.hall,Benjamin,Hall,,Canada
U0051,jing.li,Jing,Li,jing.li@163.com,China,Education,Production assistant,1753,8676,"['Machine Learning', 'Leadership', 'Python', 'Data Analysis', 'Marketing Strategy', 'Cloud Computing']",07-07-2021 20:44,FALSE,jing.li,Jing,Li,,China
U0052,alok.singh,Alok,Singh,alok.singh@gmail.com,India,Software Development,Scientist,3494,1255,"['Cloud Computing', 'Leadership', 'Project Management', 'Machine Learning', 'Marketing Strategy']",26-01-2022 20:01,FALSE,alok.singh,Alok,Singh,,India
U0053,grace.walker,Grace,Walker,grace.walker@hotmail.co.uk,UK,Software Development,Programme researcher,3169,4271,"['Leadership', 'Marketing Strategy']",01-01-2021 04:27,FALSE,grace.walker,Grace,Walker,,UK
U0054,ida.jensen,Ida,Jensen,ida.jensen@gmail.com,Denmark,Education,Programmer,3371,9424,"['Marketing Strategy', 'Cloud Computing', 'Data Analysis', 'Python', 'SQL']",24-05-2025 17:45,FALSE,ida.jensen,Ida,Jensen,,Denmark
U0055,ritika.patel,Ritika,Patel,ritika.patel@yahoo.in,India,Marketing,Engineer,4869,5285,"['SQL', 'Data Analysis']",20-02-2024 13:55,FALSE,ritika.patel,Ritika,Patel,,India
U0056,lucas.scott,Lucas,Scott,lucas.scott@bigpond.com,Australia,Education,Engineer,4135,6013,"['Leadership', 'Machine Learning', 'Data Analysis', 'Python', 'SQL']",08-11-2021 04:30,FALSE,lucas.scott,Lucas,Scott,,Australia
U0057,camila.lopez,Camila,Lopez,camila.lopez@gmail.com,Spain,Education,Location manager,2339,5605,"['Project Management', 'Python', 'Marketing Strategy', 'Machine Learning']",01-08-2021 23:05,TRUE,camila.lopez,Camila,Lopez,,Spain
U0058,gaurav.yadav,Gaurav,Yadav,gaurav.yadav@hotmail.com,India,Marketing,Clinical embryologist,917,45,"['Leadership', 'SQL']",29-10-2021 11:23,TRUE,gaurav.yadav,Gaurav,Yadav,,India
U0059,elena.volkova,Elena,Volkova,elena.volkova@mail.ru,Russia,Marketing,Operations geologist,1165,5920,"['Machine Learning', 'Marketing Strategy', 'Project Management']",31-01-2021 22:35,FALSE,elena.volkova,Elena,Volkova,,Russia
U0060,omar.ibrahim,Omar,Ibrahim,omar.ibrahim@yahoo.com,Jordan,Finance,Control and instrumentation engineer,1791,6549,"['Machine Learning', 'SQL', 'Leadership', 'Python', 'Cloud Computing', 'Marketing Strategy']",20-10-2023 10:22,FALSE,omar.ibrahim,Omar,Ibrahim,,Jordan
U0061,simran.mehta,Simran,Mehta,simran.mehta@gmail.com,India,Software Development,Restaurant manager,1448,4601,"['Data Analysis', 'Marketing Strategy', 'SQL', 'Project Management']",18-12-2022 13:15,FALSE,simran.mehta,Simran,Mehta,,India
U0062,charlotte.green,Charlotte,Green,charlotte.green@aol.com,USA,Education,Television camera operator,847,2069,"['SQL', 'Project Management']",13-06-2023 10:11,FALSE,charlotte.green,Charlotte,Green,,USA
U0063,kota.saito,Kota,Saito,kota.saito@yahoo.co.jp,Japan,Education,Local government officer,4233,4845,"['Machine Learning', 'Python', 'Marketing Strategy', 'Leadership', 'Data Analysis', 'Project Management']",06-08-2023 06:46,FALSE,kota.saito,Kota,Saito,,Japan
U0064,vikas.reddy,Vikas,Reddy,vikas.reddy@gmail.com,India,Marketing,Psychologist,808,9656,"['Cloud Computing', 'Machine Learning', 'SQL', 'Leadership']",08-08-2020 00:05,FALSE,vikas.reddy,Vikas,Reddy,,India
U0065,ethan.adams,Ethan,Adams,ethan.adams@shaw.ca,Canada,Marketing,Technical sales engineer,1187,7003,"['SQL', 'Machine Learning', 'Marketing Strategy']",07-02-2021 09:17,FALSE,ethan.adams,Ethan,Adams,,Canada
U0066,xin.chen,Xin,Chen,xin.chen@qq.com,China,Marketing,Geographical information systems officer,74,8353,"['Cloud Computing', 'Marketing Strategy', 'SQL']",30-01-2024 03:49,TRUE,xin.chen,Xin,Chen,,China
U0067,priyanka.dubey,Priyanka,Dubey,priyanka.dubey@outlook.in,India,Education,Corporate treasurer,2652,8547,"['Project Management', 'Marketing Strategy', 'Machine Learning', 'Data Analysis', 'Leadership', 'Cloud Computing']",27-12-2020 13:41,TRUE,priyanka.dubey,Priyanka,Dubey,,India
U0068,arthur.baker,Arthur,Baker,arthur.baker@gmail.com,UK,Marketing,Secondary school teacher,3962,3800,"['Leadership', 'Machine Learning', 'Marketing Strategy', 'Project Management', 'Python']",12-01-2024 00:23,TRUE,arthur.baker,Arthur,Baker,,UK
U0069,oscar.lund,Oscar,Lund,oscar.lund@hotmail.com,Denmark,Education,Telecommunications researcher,3452,576,"['Data Analysis', 'Python', 'Machine Learning', 'Project Management']",22-02-2025 08:10,FALSE,oscar.lund,Oscar,Lund,,Denmark
U0070,ayush.mishra,Ayush,Mishra,ayush.mishra@gmail.com,India,Healthcare,Immigration officer,2430,3687,"['Project Management', 'SQL', 'Machine Learning', 'Python', 'Data Analysis']",20-04-2023 07:17,FALSE,ayush.mishra,Ayush,Mishra,,India
U0071,mia.wright,Mia,Wright,mia.wright@outlook.com,Australia,Healthcare,Surveyor,629,9182,"['Marketing Strategy', 'Leadership', 'SQL', 'Data Analysis', 'Cloud Computing', 'Machine Learning']",12-03-2024 16:25,FALSE,mia.wright,Mia,Wright,,Australia
U0072,diego.hernandez,Diego,Hernandez,diego.hernandez@gmail.com,Mexico,Software Development,Occupational hygienist,1664,1412,"['SQL', 'Leadership', 'Project Management', 'Marketing Strategy', 'Python', 'Cloud Computing']",26-05-2025 01:21,FALSE,diego.hernandez,Diego,Hernandez,,Mexico
U0073,neelam.chauhan,Neelam,Chauhan,neelam.chauhan@yahoo.in,India,Marketing,Surveyor,2108,3496,"['Data Analysis', 'Python']",14-01-2023 05:04,FALSE,neelam.chauhan,Neelam,Chauhan,,India
U0074,sofia.novikova,Sofia,Novikova,sofia.novikova@yandex.ru,Russia,Education,Electronics engineer,273,685,"['Cloud Computing', 'Marketing Strategy', 'Python']",25-08-2022 14:00,FALSE,sofia.novikova,Sofia,Novikova,,Russia
U0075,layla.khan,Layla,Khan,layla.khan@hotmail.com,Pakistan,Healthcare,Air cabin crew,1148,54,"['Data Analysis', 'Machine Learning', 'Leadership', 'Cloud Computing']",22-05-2025 16:37,FALSE,layla.khan,Layla,Khan,,Pakistan
U0076,harsh.agarwal,Harsh,Agarwal,harsh.agarwal@gmail.com,India,Healthcare,Marine scientist,4163,4668,"['SQL', 'Data Analysis', 'Cloud Computing', 'Python', 'Machine Learning']",16-11-2022 07:01,FALSE,harsh.agarwal,Harsh,Agarwal,,India
U0077,oliver.king,Oliver,King,oliver.king@yahoo.com,USA,Healthcare,Commercial art gallery manager,2372,9680,"['Project Management', 'SQL', 'Cloud Computing']",20-03-2025 19:07,FALSE,oliver.king,Oliver,King,,USA
U0078,rin.kobayashi,Rin,Kobayashi,rin.kobayashi@gmail.com,Japan,Healthcare,Operational investment banker,3078,6144,"['Python', 'Data Analysis', 'Cloud Computing']",11-05-2022 18:00,FALSE,rin.kobayashi,Rin,Kobayashi,,Japan
U0079,deepak.jain,Deepak,Jain,deepak.jain@rediffmail.com,India,Software Development,Special effects artist,3218,9972,"['Project Management', 'Marketing Strategy', 'Python']",02-10-2022 08:57,FALSE,deepak.jain,Deepak,Jain,,India
U0080,abigail.hill,Abigail,Hill,abigail.hill@gmail.com,Canada,Healthcare,Lawyer,3344,301,"['Python', 'Leadership', 'SQL', 'Data Analysis', 'Cloud Computing', 'Marketing Strategy']",07-01-2023 11:57,FALSE,abigail.hill,Abigail,Hill,,Canada
U0081,huan.liu,Huan,Liu,huan.liu@sina.com,China,Marketing,Bookseller,65,6247,"['Marketing Strategy', 'Python', 'Machine Learning', 'SQL', 'Project Management', 'Leadership']",02-10-2023 21:54,FALSE,huan.liu,Huan,Liu,,China
U0082,komal.verma,Komal,Verma,komal.verma@hotmail.com,India,Software Development,Financial risk analyst,4143,1568,"['Leadership', 'Data Analysis', 'SQL', 'Marketing Strategy', 'Cloud Computing', 'Python']",13-06-2023 06:54,TRUE,komal.verma,Komal,Verma,,India
U0083,amelia.scott,Amelia,Scott,amelia.scott@yahoo.co.uk,UK,Finance,Armed forces technical officer,1483,4003,"['Data Analysis', 'Leadership', 'Marketing Strategy', 'Project Management']",18-08-2021 14:12,FALSE,amelia.scott,Amelia,Scott,,UK
U0084,albert.rasmussen,Albert,Rasmussen,albert.rasmussen@gmail.com,Denmark,Marketing,Photographer,4266,5907,"['Machine Learning', 'Python', 'SQL', 'Data Analysis', 'Leadership', 'Marketing Strategy']",28-06-2022 03:10,FALSE,albert.rasmussen,Albert,Rasmussen,,Denmark
U0085,pranav.saini,Pranav,Saini,pranav.saini@gmail.com,India,Finance,Primary school teacher,3046,957,"['Machine Learning', 'Python', 'Leadership', 'SQL', 'Project Management']",06-07-2022 04:37,FALSE,pranav.saini,Pranav,Saini,,India
U0086,harper.green,Harper,Green,harper.green@bigpond.com,Australia,Software Development,Chiropodist,1827,6653,"['Project Management', 'Cloud Computing', 'SQL']",18-04-2021 22:14,FALSE,harper.green,Harper,Green,,Australia
U0087,antonio.gonzalez,Antonio,Gonzalez,antonio.gonzalez@gmail.com,Spain,Finance,Psychotherapist,4796,851,"['SQL', 'Marketing Strategy', 'Machine Learning']",16-03-2023 18:32,FALSE,antonio.gonzalez,Antonio,Gonzalez,,Spain
U0088,riya.sharma,Riya,Sharma,riya.sharma@yahoo.in,India,Marketing,Dealer,347,8246,"['Data Analysis', 'Python', 'Project Management', 'Leadership', 'SQL', 'Cloud Computing']",23-02-2023 13:06,TRUE,riya.sharma,Riya,Sharma,,India
U0089,sergey.morozov,Sergey,Morozov,sergey.morozov@mail.ru,Russia,Marketing,Merchandiser,2929,6074,"['Data Analysis', 'Cloud Computing']",17-07-2022 03:57,FALSE,sergey.morozov,Sergey,Morozov,,Russia
U0090,rana.ali,Rana,Ali,rana.ali@hotmail.com,Algeria,Marketing,Engineer,3306,8601,"['Marketing Strategy', 'Leadership', 'Machine Learning', 'SQL', 'Python', 'Data Analysis']",13-08-2022 05:02,FALSE,rana.ali,Rana,Ali,,Algeria
U0091,sachin.kumar,Sachin,Kumar,sachin.kumar@gmail.com,India,Healthcare,IT technical support officer,3459,2543,"['Data Analysis', 'SQL', 'Leadership', 'Machine Learning', 'Python']",09-12-2023 00:28,TRUE,sachin.kumar,Sachin,Kumar,,India
U0092,zoe.adams,Zoe,Adams,zoe.adams@yahoo.com,USA,Software Development,English as a second language teacher,976,8054,"['Python', 'Data Analysis', 'Machine Learning', 'Leadership']",09-10-2023 15:33,FALSE,zoe.adams,Zoe,Adams,,USA
U0093,kaede.nakamura,Kaede,Nakamura,kaede.nakamura@outlook.jp,Japan,Healthcare,Lawyer,1597,1585,"['Leadership', 'Marketing Strategy', 'Project Management']",07-06-2021 07:03,TRUE,kaede.nakamura,Kaede,Nakamura,,Japan
U0094,tanvi.gupta,Tanvi,Gupta,tanvi.gupta@rediffmail.com,India,Software Development,Trade mark attorney,881,8542,"['Python', 'Marketing Strategy', 'Data Analysis', 'Leadership']",07-07-2021 17:30,TRUE,tanvi.gupta,Tanvi,Gupta,,India
U0095,logan.baker,Logan,Baker,logan.baker@gmail.com,Canada,Marketing,Maintenance engineer,4163,4048,"['Marketing Strategy', 'Project Management', 'Data Analysis', 'Machine Learning']",10-03-2023 07:18,FALSE,logan.baker,Logan,Baker,,Canada
U0096,qian.zhou,Qian,Zhou,qian.zhou@qq.com,China,Finance,Community pharmacist,1988,3457,"['Machine Learning', 'Data Analysis']",05-07-2021 18:40,FALSE,qian.zhou,Qian,Zhou,,China
U0097,umesh.singh,Umesh,Singh,umesh.singh@gmail.com,India,Finance,Nutritional therapist,1816,8574,"['Marketing Strategy', 'Cloud Computing', 'Project Management']",25-02-2025 16:51,FALSE,umesh.singh,Umesh,Singh,,India
U0098,lily.cooper,Lily,Cooper,lily.cooper@hotmail.co.uk,UK,Finance,Scientist,3689,6125,"['Project Management', 'Machine Learning']",06-06-2025 04:34,FALSE,lily.cooper,Lily,Cooper,,UK
U0099,emil.madsen,Emil,Madsen,emil.madsen@gmail.com,Denmark,Education,Journalist,4239,3649,"['Leadership', 'Data Analysis', 'Machine Learning', 'Python', 'Marketing Strategy', 'Cloud Computing']",21-06-2022 11:32,TRUE,emil.madsen,Emil,Madsen,,Denmark
U0100,ishita.patel,Ishita,Patel,ishita.patel@yahoo.in,India,Healthcare,Programmer,4768,3453,"['Data Analysis', 'Machine Learning', 'Marketing Strategy', 'Python', 'Project Management']",17-02-2025 07:41,FALSE,ishita.patel,Ishita,Patel,,India
,,,,oscar.brown@bigpond.com,,,,,,,,,oscar.brown,Oscar,Brown,,Australia
,,,,lucia.diaz@gmail.com,,,,,,,,,lucia.diaz,Lucia,Diaz,,Mexico
